step	status	seconds	exit_code	documented
1-install	OK	3	0	yes
1-smoke-cf-help	OK	2	0	yes
1-version	OK	1	0	yes
3-init	OK	1	0	yes
4-prd-generate	FAIL	2	1	yes
4-prd-show	OK	0	0	yes
4-tasks-generate	FAIL	1	1	yes
4-tasks-list	OK	0	0	yes
5-promote-to-ready	OK	0	0	yes
6-batch-run	OK	1	0	yes
6-proof-run	FAIL	0	2	yes
post-status	OK	1	0	yes
post-tasks-list	OK	0	0	yes
post-proof-status	OK	1	0	yes
